Basin,month,STAT,VALUE
Zambezi Basin,1981apr,average,33.43588727280
Limpopo Basin,1981apr,average,17.83382941610
Okavango Basin,1981apr,average,12.15447818000
Cuvelai Basin,1981apr,average,15.84256185970
Zambezi Basin,1981aug,average,1.26400507446
Limpopo Basin,1981aug,average,8.35840097264
Okavango Basin,1981aug,average,0.76607934212
Cuvelai Basin,1981aug,average,0.20704620946
Zambezi Basin,1981dec,average,101.39841387000
Limpopo Basin,1981dec,average,59.48611325370
Okavango Basin,1981dec,average,48.46518474580
Cuvelai Basin,1981dec,average,30.97731638590
Zambezi Basin,1981feb,average,245.52999248100
Limpopo Basin,1981feb,average,122.41347583400
Okavango Basin,1981feb,average,79.04393914070
Cuvelai Basin,1981feb,average,49.13674383780
Zambezi Basin,1981jan,average,180.35595963500
Limpopo Basin,1981jan,average,119.08654989800
Okavango Basin,1981jan,average,75.32281088760
Cuvelai Basin,1981jan,average,76.79995350780
Zambezi Basin,1981jul,average,2.05377089897
Limpopo Basin,1981jul,average,3.48946348181
Okavango Basin,1981jul,average,0.32430013917
Cuvelai Basin,1981jul,average,0.03673263278
Zambezi Basin,1981jun,average,1.49887747218
Limpopo Basin,1981jun,average,4.52728409917
Okavango Basin,1981jun,average,1.08985496506
Cuvelai Basin,1981jun,average,0.31204340068
Zambezi Basin,1981mar,average,147.74303793600
Limpopo Basin,1981mar,average,59.37345691570
Okavango Basin,1981mar,average,61.26019754550
Cuvelai Basin,1981mar,average,43.06572646830
Zambezi Basin,1981may,average,6.82566391710
Limpopo Basin,1981may,average,17.03226724160
Okavango Basin,1981may,average,3.12026538861
Cuvelai Basin,1981may,average,2.30986094074
Zambezi Basin,1981nov,average,79.43608657480
Limpopo Basin,1981nov,average,75.06011061370
Okavango Basin,1981nov,average,51.10369044980
Cuvelai Basin,1981nov,average,24.01648966330
Zambezi Basin,1981oct,average,22.35343260110
Limpopo Basin,1981oct,average,33.66684271990
Okavango Basin,1981oct,average,16.72423654120
Cuvelai Basin,1981oct,average,9.17727169282
Zambezi Basin,1981sep,average,3.65492500259
Limpopo Basin,1981sep,average,19.58675200500
Okavango Basin,1981sep,average,3.26767239648
Cuvelai Basin,1981sep,average,1.51687113678
Zambezi Basin,1982apr,average,62.68357933940
Limpopo Basin,1982apr,average,33.71100142040
Okavango Basin,1982apr,average,43.06484970420
Cuvelai Basin,1982apr,average,34.93622808390
Zambezi Basin,1982aug,average,1.64454949316
Limpopo Basin,1982aug,average,3.75729964773
Okavango Basin,1982aug,average,0.61128734571
Cuvelai Basin,1982aug,average,0.20392185937
Zambezi Basin,1982dec,average,152.07205841900
Limpopo Basin,1982dec,average,63.83564555180
Okavango Basin,1982dec,average,81.19435344290
Cuvelai Basin,1982dec,average,73.38598167420
Zambezi Basin,1982feb,average,209.00256458500
Limpopo Basin,1982feb,average,71.19472984940
Okavango Basin,1982feb,average,91.90646857610
Cuvelai Basin,1982feb,average,148.31426547800
Zambezi Basin,1982jan,average,213.16552772100
Limpopo Basin,1982jan,average,69.14249711590
Okavango Basin,1982jan,average,76.69093217890
Cuvelai Basin,1982jan,average,93.55988458380
Zambezi Basin,1982jul,average,2.39266527547
Limpopo Basin,1982jul,average,5.58054778787
